Title of Ad,Election,Party,Ad Buyer,Number of Airings
Failing America,Presidential,Democratic,Priorities USA Action,3550
Coddles China,Presidential,Republican,Trump for President,3232
Dead Wrong,Presidential,Republican,Trump for President,3183
Hoax,Presidential,Democratic,Priorities USA Action,2783
Powerful,KY Senate,Democratic,McGrath for KY Senate,2526
Trump Trusted China,Presidential,Democratic,American Bridge 21st Century,2371
Not Responsible,Presidential,Democratic,Priorities USA Action,2302
Bad Folks,Presidential,Republican,America First Action,2208
Our Heroes,GA Senate,Democratic,Ossoff for GA Senate,2170
Dangerous For America,Presidential,Republican,Trump for President,2150
